"","date","day","initial_inventory","par","prep_rec","prep_actual","waste","final_inventory","short_long","scale","use_expected","use_actual","temp_max","temp_min","conditions","rain","snow","humidity","wind","season","holiday","month","use7","use3","use1","avgUse","medUse","quart1Use","quart3Use","maxUse","temp_maxz","temp_minz","humidityz","windz","snowz","rainz","use7z","use3z","use1z","avgUsez","medUsez","quart1Usez","quart3Usez","maxUsez","use_predicted"
"21",2016-10-09,"Sunday",470,475,0,105,NA,575,100,60,106,120,62,51,"Rain",0.85,0,90,8,"Fall","0","10",115.714285714286,150.666666666667,180,110,120,95,120,120,-0.0729905982673832,0.395626922467356,1.53552679627833,0.0872767113531228,-0.0776222793814696,2.74311912780267,-0.209005217328828,0.498741318968218,0.866799504530815,-0.251757818602689,-0.105490418892963,-0.238526868415517,-0.394311997341258,-0.648374995887059,111
"22",2016-10-10,"Monday",455,533,75,75,NA,530,-3,165,87,95,62,44,"Mostly Cloudy",0,0,74,3,"Fall","1","10",115.714285714286,162,120,79,80,65,95,95,-0.0729905982673832,-0.248141840327298,0.23994598657415,-1.15348549109239,-0.0776222793814696,-0.461882439916727,-0.209005217328828,0.712565414480855,-0.0588178109437439,-0.807391669534134,-0.818427884049841,-0.774974722415096,-0.824692353679584,-1.06064280869241,87
"23",2016-10-11,"Tuesday",435,602,165,150,NA,585,-17,135,84,100,66,42,"Fog",0,0,63,8,"Fall","0","10",117.857142857143,131.666666666667,95,90,90,87.5,92.5,100,0.167263552401066,-0.432075772554342,-0.650765820097474,0.0872767113531228,-0.0776222793814696,-0.461882439916727,-0.160146821527996,0.140271511785269,-0.444491692391477,-0.610231270816525,-0.640193517760622,-0.372638831915412,-0.867730389313417,-0.978189246131344,98
"24",2016-10-12,"Wednesday",485,623,135,180,NA,665,42,45,86,105,65,41,"Rain",0.03,0,65,8,"Fall","0","10",119.285714285714,105,100,77.5,68.5,68,78,105,0.107200014733954,-0.524042738667864,-0.488818218884452,0.0872767113531228,-0.0776222793814696,-0.348764737526631,-0.127574557660774,-0.362844007067992,-0.36735691610193,-0.834277178450172,-1.02339740528244,-0.721329937015138,-1.11735099598965,-0.895735683570272,97
"25",2016-10-13,"Thursday",560,625,60,120,NA,680,55,30,112,53,60,51,"Rain",1.99,0,89,14,"Fall","0","10",124.571428571429,100,105,95,100.5,77.75,117.75,126,-0.193117673601608,0.395626922467356,1.45455299567182,1.57619135428774,-0.0776222793814696,7.04159181862634,-0.00705718135205445,-0.457178166852979,-0.290222139812384,-0.520612907763066,-0.453047433156941,-0.546984384465275,-0.433046229411708,-0.549430720813773,70
"26",2016-10-14,"Friday",627,597,0,105,NA,732,135,-45,164,88,66,54,"Rain",0.49,0,69,13,"Fall","0","10",119.857142857143,86,53,161.5,174,143.5,192,210,0.167263552401066,0.671527820807922,-0.164923016458407,1.32803891379864,-0.0776222793814696,1.38570669912152,-0.114545652113885,-0.721313814250941,-1.09242381322367,0.671311320847938,0.856975159068822,0.628730495550469,0.845183428913121,0.835789130212223,117
"27",2016-10-15,"Saturday",644,519,0,0,NA,644,125,-15,156,134,65,53,"Rain",0.51,0,78,15,"Fall","0","10",105.857142857143,82,88,170.4,180,153,190,195,0.107200014733954,0.5795608546944,0.563841189000195,1.82434379477684,-0.0776222793814696,1.46111850071491,-0.433753838012656,-0.79678114207893,-0.552480379196842,0.830832007083095,0.963915778842353,0.798605649317003,0.810753000406055,0.588428442529009,132
"28",2016-10-16,"Sunday",510,475,0,0,NA,510,35,135,106,95,60,52,"Rain",0.25,0,78,12,"Fall","0","10",99.2857142857143,91.6666666666667,134,110,120,95,120,120,-0.193117673601608,0.487593888580878,0.563841189000195,1.07988647330953,-0.0776222793814696,0.480765080000744,-0.583586251801875,-0.614401766494623,0.157159562666987,-0.251757818602689,-0.105490418892963,-0.238526868415517,-0.394311997341258,-0.648374995887059,99
"29",2016-10-17,"Monday",415,533,120,60,NA,475,-58,270,87,65,61,50,"Thunderstorm",0.44,0,81,13,"Fall","0","10",95.7142857142857,105.666666666667,95,79,80,65,95,95,-0.133054135934495,0.303659956353834,0.806762590819728,1.32803891379864,-0.0776222793814696,1.19717719513802,-0.665016911469929,-0.35026611909666,-0.444491692391477,-0.807391669534134,-0.818427884049841,-0.774974722415096,-0.824692353679584,-1.06064280869241,69
"30",2016-10-18,"Tuesday",410,602,195,150,NA,560,-42,195,84,80,59,48,"Rain",0.05,0,83,5,"Fall","0","10",91.4285714285714,98,65,90,90,87.5,92.5,100,-0.25318121126872,0.11972602412679,0.968710192032751,-0.657180610114186,-0.0776222793814696,-0.273352935933233,-0.762733703071594,-0.494911830766973,-0.907300350128757,-0.610231270816525,-0.640193517760622,-0.372638831915412,-0.867730389313417,-0.978189246131344,85
"31",2016-10-19,"Wednesday",480,623,150,120,NA,600,-23,135,86,68,61,45,"Rain",0.23,0,77,8,"Fall","0","10",88.5714285714286,80,80,77.5,68.5,68,78,105,-0.133054135934495,-0.156174874213776,0.482867388393683,0.0872767113531228,-0.0776222793814696,0.405353278407346,-0.827878230806037,-0.834514805992925,-0.675896021260117,-0.834277178450172,-1.02339740528244,-0.721329937015138,-1.11735099598965,-0.895735683570272,73
"32",2016-10-20,"Thursday",532,625,90,105,NA,637,12,75,112,115,63,53,"Rain",0.26,0,89,6,"Fall","0","10",83.2857142857143,71,68,95,100.5,77.75,117.75,126,-0.0129270606002709,0.5795608546944,1.45455299567182,-0.409028169625083,-0.0776222793814696,0.518470980797442,-0.948395607114756,-1.0043162936059,-0.861019484355029,-0.520612907763066,-0.453047433156941,-0.546984384465275,-0.433046229411708,-0.549430720813773,103
"33",2016-10-21,"Friday",522,597,75,60,NA,582,-15,120,164,162,63,52,"Rain",0.48,0,74,4,"Fall","0","10",92.1428571428571,87.6666666666667,115,161.5,174,143.5,192,210,-0.0129270606002709,0.487593888580878,0.23994598657415,-0.905333050603289,-0.0776222793814696,1.34800079832482,-0.746447571137983,-0.689869094322612,-0.13595258723329,0.671311320847938,0.856975159068822,0.628730495550469,0.845183428913121,0.835789130212223,160
