"","date","day","initial_inventory","par","prep_rec","prep_actual","waste","final_inventory","short_long","scale","use_expected","use_actual","temp_max","temp_min","conditions","rain","snow","humidity","wind","season","holiday","month","use7","use3","use1","avgUse","medUse","quart1Use","quart3Use","maxUse","temp_maxz","temp_minz","humidityz","windz","snowz","rainz","use7z","use3z","use1z","avgUsez","medUsez","quart1Usez","quart3Usez","maxUsez","use_predicted"
"24",2016-10-12,"Wednesday",485,623,135,180,NA,665,42,45,86,105,65,41,"Rain",0.03,0,65,8,"Fall","0","10",119.285714285714,105,100,65.6875,72,22.5,105,128,0.107200014733954,-0.524042738667864,-0.488990887110644,0.0872767113531228,-0.0776222793814696,-0.348764737526631,-0.0487778597389448,-0.272530201513442,-0.296564921794143,-1.04322185745021,-0.968077685815306,-1.30550559037386,-0.770963799165894,-1.02065619077846,100
"25",2016-10-13,"Thursday",560,625,60,120,NA,680,55,30,112,53,60,51,"Rain",1.99,0,89,14,"Fall","0","10",124.571428571429,100,105,73.7333333333333,97,0,120.5,157,-0.193117673601608,0.395626922467356,1.45337778002216,1.57619135428774,-0.0776222793814696,7.04159181862634,0.0631668175578601,-0.36131352151909,-0.222577431585002,-0.887794832822835,-0.503027390049069,-1.71464949792306,-0.471242204929902,-0.527829724920156,72
"26",2016-10-14,"Friday",627,597,0,105,NA,732,135,-45,164,88,66,54,"Rain",0.49,0,69,13,"Fall","0","10",119.857142857143,86,53,126.9375,148.5,48,196.5,270,0.167263552401066,0.671527820807922,-0.165262775921842,1.32803891379864,-0.0776222793814696,1.38570669912152,-0.0366757324636146,-0.609906817534905,-0.992047329760059,0.139987496264124,0.454976219229379,-0.841809161818104,0.998360450678831,1.3924940903208,123
"27",2016-10-15,"Saturday",644,519,0,0,NA,644,125,-15,156,134,65,53,"Rain",0.51,0,78,15,"Fall","0","10",105.857142857143,82,88,146.9375,166.5,128,188.5,238,0.107200014733954,0.5795608546944,0.56312547425296,1.82434379477684,-0.0776222793814696,1.46111850071491,-0.333177850709206,-0.680933473539423,-0.474134898296079,0.526341570946355,0.789812432181069,0.612924731690149,0.843665434298965,0.848685576270266,138
"28",2016-10-16,"Sunday",510,475,0,0,NA,510,35,135,106,95,60,52,"Rain",0.25,0,78,12,"Fall","0","10",99.2857142857143,91.6666666666667,134,99,98.5,80,120,200,-0.193117673601608,0.487593888580878,0.56312547425296,1.07988647330953,-0.0776222793814696,0.480765080000744,-0.472352314375505,-0.509285721528503,0.20655001162801,-0.399700851807617,-0.475124372303095,-0.259915604414803,-0.480910643453644,0.202912965835253,98
"29",2016-10-17,"Monday",415,533,120,60,NA,475,-58,270,87,65,61,50,"Thunderstorm",0.44,0,81,13,"Fall","0","10",95.7142857142857,105.666666666667,95,74.0625,75.5,62.25,95,135,-0.133054135934495,0.303659956353834,0.805921557644561,1.32803891379864,-0.0776222793814696,1.19717719513802,-0.547990609846319,-0.260692425512688,-0.370552412003283,-0.881436088677023,-0.902970644408033,-0.582684687036946,-0.964332569640727,-0.901698078329901,70
"30",2016-10-18,"Tuesday",410,602,195,150,NA,560,-42,195,84,80,59,48,"Rain",0.05,0,83,5,"Fall","0","10",91.4285714285714,98,65,69.1875,79.5,59.5,91,120,-0.25318121126872,0.11972602412679,0.967785613238962,-0.657180610114186,-0.0776222793814696,-0.273352935933233,-0.638756564411296,-0.396826849521349,-0.814477353258123,-0.975609894380817,-0.828562597085435,-0.632691164626293,-1.04168007783066,-1.15660831929109,81
"31",2016-10-19,"Wednesday",480,623,150,120,NA,600,-23,135,86,68,61,45,"Rain",0.23,0,77,8,"Fall","0","10",88.5714285714286,80,80,65.6875,72,22.5,105,128,-0.133054135934495,-0.156174874213776,0.48219344645576,0.0872767113531228,-0.0776222793814696,0.405353278407346,-0.699267200787947,-0.716446801541682,-0.592514882630703,-1.04322185745021,-0.968077685815306,-1.30550559037386,-0.770963799165894,-1.02065619077846,75
"32",2016-10-20,"Thursday",532,625,90,105,NA,637,12,75,112,115,63,53,"Rain",0.26,0,89,6,"Fall","0","10",83.2857142857143,71,68,73.7333333333333,97,0,120.5,157,-0.0129270606002709,0.5795608546944,1.45337778002216,-0.409028169625083,-0.0776222793814696,0.518470980797442,-0.811211878084752,-0.876256777551849,-0.770084859132639,-0.887794832822835,-0.503027390049069,-1.71464949792306,-0.471242204929902,-0.527829724920156,107
"33",2016-10-21,"Friday",522,597,75,60,NA,582,-15,120,164,162,63,52,"Rain",0.48,0,74,4,"Fall","0","10",92.1428571428571,87.6666666666667,115,126.9375,148.5,48,196.5,270,-0.0129270606002709,0.487593888580878,0.239397363064159,-0.905333050603289,-0.0776222793814696,1.34800079832482,-0.623628905317133,-0.580312377533022,-0.0746024511667224,0.139987496264124,0.454976219229379,-0.841809161818104,0.998360450678831,1.3924940903208,162
