"airport","date","maxTemp","minTemp","precipitation","cloudCover","conditions","humidity","wind","snow","rain","conditions1","conditions2","conditions3"
"PDX",2017-03-31,58,39,0,6,"Partly Cloudly",68,8,0,0,"Partly Cloudly",NA,NA
"PDX",2017-04-01,58,46,0.05,6,"Rain",78,12,0,0.05,"Rain",NA,NA
"PDX",2017-04-02,56,40,0.001,5,"Partly Cloudly",62,20,0,0,"Partly Cloudly",NA,NA
"PDX",2017-04-03,57,35,0,5,"Partly Cloudly",65,10,0,0,"Partly Cloudly",NA,NA
"PDX",2017-04-04,60,44,0.01,8,"Rain",58,18,0,0.01,"Rain",NA,NA
"PDX",2017-04-05,63,48,0,8,"Mostly Cloudly",58,20,0,0,"Mostly Cloudly",NA,NA
"PDX",2017-04-06,62,48,0.37,7,"Rain",74,15,0,0.37,"Rain",NA,NA
"PDX",2017-04-07,57,49,0.1,7,"Rain",72,44,0,0.1,"Rain",NA,NA
"PDX",2017-04-08,53,42,0.04,5,"Rain",70,25,0,0.04,"Rain",NA,NA
"PDX",2017-04-09,57,38,0.001,7,"Rain",60,22,0,0.001,"Rain",NA,NA
"PDX",2017-04-10,55,43,0.18,5,"Rain",65,25,0,0.18,"Rain",NA,NA
"PDX",2017-04-11,59,35,0.001,7,"Rain",68,22,0,0.001,"Rain",NA,NA
"PDX",2017-04-12,60,47,0.43,8,"Rain",80,23,0,0.43,"Rain",NA,NA
"PDX",2017-04-13,53,42,0.03,6,"Rain",74,25,0,0.03,"Rain",NA,NA
"PDX",2017-04-14,55,43,0.09,6,"Thunderstorm",67,25,0,0.09,"Rain","Thunderstorm",NA
"PDX",2017-04-15,60,38,0,3,"Scattered Clouds",68,13,0,0,"Scattered Clouds",NA,NA
"PDX",2017-04-16,63,41,0,6,"Rain",61,29,0,0,"Rain",NA,NA
"PDX",2017-04-17,59,48,0.19,7,"Rain",75,20,0,0.19,"Rain",NA,NA
"PDX",2017-04-18,64,48,0.05,5,"Rain",66,18,0,0.05,"Rain","Thunderstorm",NA
"PDX",2017-04-19,56,47,0.2,8,"Rain",82,16,0,0.2,"Rain",NA,NA
"PDX",2017-04-20,60,43,0.09,7,"Rain",70,22,0,0.09,"Rain",NA,NA
"PDX",2017-04-21,69,39,0,5,"Partly Cloudly",66,21,0,0,"Partly Cloudly",NA,NA
"PDX",2017-04-22,63,50,0.14,7,"Rain",61,31,0,0.14,"Rain",NA,NA
"PDX",2017-04-23,56,49,0.07,8,"Rain",73,20,0,0.07,"Rain",NA,NA
"PDX",2017-04-24,54,44,0.91,8,"Rain",82,18,0,0.91,"Rain",NA,NA
"PDX",2017-04-25,54,45,0.09,8,"Rain",80,13,0,0.09,"Rain",NA,NA
"PDX",2017-04-26,58,48,0.21,7,"Rain",72,20,0,0.21,"Rain",NA,NA
"PDX",2017-04-27,56,42,0.08,5,"Rain",72,18,0,0.08,"Rain",NA,NA
"PDX",2017-04-28,61,40,0,4,"Scattered Clouds",66,13,0,0,"Scattered Clouds",NA,NA
"PDX",2017-04-29,64,39,0.01,5,"Rain",62,12,0,0.01,"Rain",NA,NA
"PDX",2017-04-30,60,49,0.01,5,"Rain",63,16,0,0.01,"Rain",NA,NA
